baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2836.80363335658	5.84452688268916	0.143290977315621	40.7878220400134	0	0
ENSMUSG00000025608.9	4423.40949448527	8.30267550857218	0.196724150468016	42.2046580901213	0	0
ENSMUSG00000045545.8	4116.18434965827	9.13486730910173	0.238808581208507	38.2518386185041	0	0
ENSMUSG00000047586.4	2416.03365064501	7.42785977797135	0.196862106010587	37.7312827160952	0	0
ENSMUSG00000054889.10	6930.99933991589	4.65092788052654	0.113758372790496	40.8842687042647	0	0
ENSMUSG00000097767.8	4122.70926053919	6.58409823283254	0.149902937526642	43.9224096703399	0	0
ENSMUSG00000030693.10	1286.67493063551	5.43590054411547	0.145749930684332	37.2960763589566	1.89992665003404e-304	5.61754026796494e-301
ENSMUSG00000020758.15	6450.02734090986	4.2674402833522	0.114761365941478	37.1853388842405	1.17769165987873e-302	3.04683553556375e-299
ENSMUSG00000053797.10	2378.91588438367	7.99278400031568	0.216832828780461	36.8615031463165	1.91338097665536e-297	4.40013845264843e-294
ENSMUSG00000037820.15	3956.72556124155	4.03171429448326	0.110072302839638	36.6278726843481	1.02999990571303e-293	2.13179080485425e-290
ENSMUSG00000024406.16	2312.03600342929	4.47741161535988	0.12295396555074	36.4153493976749	2.43344190875818e-290	4.57863156232436e-287
ENSMUSG00000056602.12	1189.78264760258	5.37159361691849	0.151894471393501	35.3639837423887	6.11264240074106e-274	1.05427799806781e-270
ENSMUSG00000047281.3	1063.70194819041	5.25898573027592	0.149389264602674	35.2032372892594	1.78401719638665e-271	2.84029260873957e-268
ENSMUSG00000037185.9	1433.83835143906	4.99749468705195	0.143453106683692	34.8371311195875	6.66910035264163e-266	9.85931214275884e-263
ENSMUSG00000027375.14	3847.62450713927	5.7530808478083	0.165848575692928	34.6887564380429	1.16408056605824e-263	1.60619836504716e-260
ENSMUSG00000026413.12	1674.18030690815	5.51208136969857	0.162226056284953	33.9777807334261	4.74396968445483e-253	6.13662128494761e-250
ENSMUSG00000031995.9	1281.30606240312	6.00822381976913	0.179492917772074	33.4733196960929	1.17862852135421e-245	1.434945559204e-242
ENSMUSG00000019102.10	4329.88264331889	3.75917145435159	0.117787325066793	31.91490639778	1.6586543328987e-223	1.90717604044469e-220
ENSMUSG00000034282.3	1270.63412572543	6.82292471285478	0.215616356918627	31.6438177991743	9.22380519755935e-220	1.00476366407308e-216
ENSMUSG00000074796.10	897.500790525596	4.28169888073537	0.135866840904565	31.5139356463208	5.59713417993704e-218	5.79219430610784e-215
ENSMUSG00000028435.8	1003.93630204172	6.25887891435157	0.19999072863534	31.2958453477307	5.31499390638073e-215	5.2383061371601e-212
ENSMUSG00000042793.13	1010.89205599955	4.17912144524057	0.134606750800728	31.0468934164183	1.25650536382581e-211	1.18208597795922e-208
ENSMUSG00000049382.10	5900.52534920045	10.8676955785135	0.354173216332254	30.6846906467325	9.1100639155207e-207	8.19786925476226e-204
