Sample	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3414629	87.35163658672957	16224313						
SRR3414629.hisat			98.86					
SRR3414629_1				52.63116114112642	49.0	65.0	18.181818181818183	21106089.0
SRR3414630	86.96198079577313	11583775						
SRR3414630.hisat			98.9					
SRR3414630_1				52.71014041606536	47.0	65.0	18.181818181818183	15244711.0
SRR3414631	87.96714362261756	18613501						
SRR3414631.hisat			98.85					
SRR3414631_1				54.462476400504414	49.0	65.0	18.181818181818183	24244069.0
SRR3414635	88.33485100890147	16463013						
SRR3414635.hisat			98.85					
SRR3414635_1				54.93731468112119	49.0	65.0	18.181818181818183	20956475.0
SRR3414636	88.40986411392339	15942667						
SRR3414636.hisat			98.85					
SRR3414636_1				54.380744816681265	49.0	65.0	18.181818181818183	20307147.0
SRR3414637	88.20053154044197	15914380						
SRR3414637.hisat			98.84					
SRR3414637_1				60.16483972086265	47.0	65.0	18.181818181818183	20385570.0
